date,location,fatalities,state,activity,comments
1999-02-09,Town of Hailey, ,ID,OTHER,3 houses damaged by avalanche
1999-02-06,"Lone Peak Area, Little Cottonwood Canyon",1,UT,SNOWSHOE,"1 snowshoer caught, buried, and killed"
1999-02-06,Cumberland Pass; 25 miles East of Crested Butte,3,CO,SKI,"4 caught, 1 partly buried, 3 buried and killed. (2 skiers, 1 snowmobiler)"
1999-02-06,"Lake Mary area, near the Tahoe-Donner summit",1,CA,OTHER,"3 caught, 1 buried and killed"
1999-01-30,Grand Mesa,1,CO,SNOWMOBILE,1 snowmobiler caught buried and killed
1999-01-29,East side of Mount Nebo,1,UT,SNOWMOBILE,1 snowmobiler caught buried and killed
1999-01-29,Blue Mountains ,1,OR,SNOWBOARD,1 Snowboarder caught buried and killed
1999-01-27,"Grouse Mountain, near Vancouver",1,BC,OTHER,"5 hikers caught, 4 injured, 1 missing and presumed dead"
1999-01-23,"MacAtee Basin, 10 miles S. of Big Sky", ,MT,SNOWMOBILE,Snowmobiler Survives Avalanche in Southwest Montana
1999-01-22,Near the Aspen Highlands Ski Area,1,CO,SKI,"2 Out of bounds skiers, 1 caught buried and killed"
1999-01-19,"Casper Bowl, Jackson Hole",1,WY,SNOWBOARD,1 snowboarder swept over 300' cliff and killed
1999-01-18,Near Mt. Baker,1,WA,SNOWBOARD,"Snowboarder caught, buried-still missing and presumed dead"
1999-01-14,Near Lake Louise,1,AB,SKI,"2 skiers caught, 1 buried and killed"
1999-01-07,"Terrace, British Columbia Jan 7, 1999",2,BC,OTHER,"Two avalanche technicians, caught, buried, and killed "
1999-01-05,"Tri-County Peak, Park City", ,UT,SKI,"2 skiers caught and buried, 3 skiers fired and cited"
1999-01-04,"Togwotee Pass, WY > Dry Lake Creek Area",1,WY,SNOWMOBILE,"1 snowmobiler, caught, buried, and killed"
1999-01-02,"Southeast of Fairview, Utah",2,UT,SNOWBOARD,"2 snowboarders, caught and killed outside of Fairview, Utah"
1999-01-01,"Northern Quebec, Kangiqsualujjuaq village",9,QB,OTHER,"School gymnasium with 500 people inside, 9 killed, 25 injured"
1999-01-01,Beaverhead Mountains above Rock Island Lake, ,MT,SNOWMOBILE,"2 snowmobilers caught, not buried, not injured. very lucky."
1998-12-30,"Missoula Lake area, Bitterroot Mountains",1,MT,SNOWMOBILE,"1 snowmobiler/shoveler caught, buried, and killed"
1998-12-24,Cypress Mountain,1,BC,SNOWBOARD,"1 snowboarder caught, buried, and killed"
1998-11-15,Lima Peaks area south of Dillon,1,MT,OTHER,"1 Hunter caught, buried and killed"
1998-11-14,Yoho National Park,1,BC,OTHER,"6 hikers caught, some injured, 1 fatality"
1998-11-13,Kokanee Glacier Provincial Park,1,BC,SKI,"6 caught in 2 seperate avalanches, 1 missing and presumed drowned"
1998-11-07,"Mt. Baldy, Little Cottonwood Canyon",1,UT,SNOWBOARD,"5 Snowboarders caught, 1 killed, 1 seriously injured"
2000-04-30,Mt Baker, ,WA,OTHER,1 hungry pooch
2000-04-08,"Snow Shoe Peak, near Talkeetna",1,AK,SKI,"2 backcountry skiers caught, 1 injured, 1 killed "
2000-04-08,"Summit Lake, north of Paxson",1,AK,SNOWMOBILE,1 snowmobiler caught buried and killed
2000-03-31,"Copper Mountain, near Holden", ,WA,CLIMB,"2 climbers caught, one seriously injured"
2000-03-26,"Powder Mountain, near Whistler",1,BC,SNOWBOARD,"2 snowboarders caught, 1 buried and killed"
2000-03-22,"Gildart Peak, Swan Range in NW Montana",1,MT,SNOWMOBILE,"1 snowmobiler caught, not buried and killed"
2000-03-19,Selkirk Mountains west of Bonners Ferry,1,ID,SNOWMOBILE,1 snowmobiler caught buried and killed
2000-03-19,Wasp Creek near Pemberton,1,BC,SKI,1 Heli-ski guide caught buried and killed
2000-03-18,"Maroon Creek, near Aspen",2,CO,SKI,"3 Skiers caught, 2 buried, and killed"
2000-03-18,Mt Albert on the Gaspe peninsula,1,QB,SKI,1 skier caught buried and killed
2000-03-16,Frazier Lake, ,MT,SNOWBOARD,1 snowboarder caught and injured
2000-03-13,"Mt.Vallieres-de-Saint-Real, on  the Gasp Peninsula",1,QB,SKI,"2 skiers caught, 1 minor inuries, 1 killed"
2000-03-05,Mt. Cheam near Chiliwack,1,BC,SKI,1 ski mountaineer caught by a cornice collapse
2000-02-26,"Round Valley, near Bear Valley", ,CA,SKI,A couple of close calls
2000-02-25,Snowbasin, ,UT,SKI,"5 skiers caught, 2 fully buried, 3 partial, minor injuries"
2000-02-23,Mamquam River Valley, ,BC,SNOWMOBILE,"3 snowmobilers caught, 1 buried"
2000-02-23,Blair Mtn. NW of Glenwood Springs, ,CO,SNOWMOBILE,"1 snowmobiler caught, buried. Revived by friends"
2000-02-20,Mount Washington; Gulf of Slides Area,1,NH,SKI,"2 skiers caught, 1 buried and killed"
2000-02-19,"Wright Peak, in the Adirondack High Peaks",1,NY,SKI,"6 skiers caught, 5 injured, 1 buried and killed"
2000-02-19,"St. Charles Canyon, near Bear Lake",1,ID,SNOWMOBILE,"2 snowmobilers caught, 1 buried and killed"
2000-02-14,"Ch?teau-Richer, 30 km east of Quebec City",1,QB,HIKE,"2 teens caught and buried, 1 killed, 1 critically injured"
2000-02-02,Government Meadows, ,WA,SNOWMOBILE,"2 snowmobilers caught, buried, very lucky"
2000-02-01,"Seward Highway, South of Anchorage",1,AK,OTHER,"3 bulldozer operators clearing road caught, 1 killed"
2000-01-30,"Diamond Peak, Lassen Volcanic NP", ,CA,SKI,"1 skier caught, buried 6 hours"
2000-01-28,"Smokey Mountains, near Sun Valley", ,ID,SKI,"1 skier caught, totally buried, recovered with beacon"
2000-01-26,Cordova,1,AK,OTHER,"3 houses destroyed, 3 persons hit, 1 killed"
2000-01-25,"Hurricane Gulch, near Aspen",1,CO,SKI,1 backcountry skier caught buried and killed
2000-01-25,near Arapahoe Basin,1,CO,SNOWBOARD,Backcountry snowboarder caught buried and killed
2000-01-23,"Jones Pass, West of Empire",1,CO,SNOWSHOE,"3 snowshoers caught and buried,1 killed "
2000-01-22,"Clark Lake, near Lionhead Peak", ,ID,SNOWMOBILE,"1 snowmobiler caught, buried and severely injured"
2000-01-19,Near Mt Baker, ,WA,SNOWBOARD,"1 snowboarder caught, long ride, severly injured"
2000-01-17,"Tent Ridge, near Canmore",1,AB,SKI,1 skier caught buried and killed
2000-01-16,Near Crystal Mountain, ,WA,SKI,"1 skier caught, long ride, broken leg"
2000-01-16,Crystal Mountain Ski Area,1,WA,SKI,"2 skiers in closed area, 1 caught buried and killed"
2000-01-11,"Square Top Mtn. Summit County, Utah",2,UT,SKI,"2 alpine lift skiers, out-of-bounds, caught, buried, and killed"
1999-12-26,"Hospital Creek, near Golden",1,BC,SNOWMOBILE,1 snowmobiler caught buried and killed
1999-12-26,"Hatcher Pass, in the Talkeetna Mountains,50 miles north of Anchorage",1,AK,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
1999-12-21,Quandary Peak,1,CO,SKI,"1 Skier caught, partially buried, and killed."
1999-12-18,"mountains west of Eldora, CO",1,CO,HIKE,Missing hiker suspected to be caught in avalanche.
1999-12-17,Cascade Waterall in Banff,1,AB,CLIMB,"5 climbers caught, 4 injured, 1 killed"
1999-12-14,near Cameron Pass,1,CO,SKI,"1 skier caught, buried, and killed"
1999-12-07,Rogers Pass,1,BC,SKI,"5 skiers caught, 4 injured, 1 dead"
1999-11-26,Lone Mountain,1,MT,SKI,"2 skiers caught, 1 buried and killed"
2001-04-28,Storm Mountain - Stairs Gulch; Big Cottonwood Canyon,2,UT,CLIMB,"2 climbers caught, buried, and killed."
2001-04-18,"Ram Falls near Nordegg, AB",1,AB,SNOWMOBILE,1 snowmobiler caught buried and killed
2001-04-18,"Wild Horse Creek, near Cranbrook",1,BC,SNOWMOBILE,"5 snowmobiles caught, 1 killed, 1 injured"
2001-04-18,"Sun Bowl, Mt.Shasta", ,CA,SKI,"3 backcountry skiers caught, three partially buried"
2001-04-11,"Easton Glacier, South side of Mount Baker",1,WA,SNOWMOBILE,"1 snomobiler caught, buried, and killed.  Missing hiker recovered."
2001-04-04,South of Flathead Pass; Bridger Mtns.,1,MT,SKI,"1 skier caught, buried, and killed"
2001-04-04,"Near Sheep Mountain, Northwest of West Yellowstone",1,MT,SNOWMOBILE,"1 snowbiler caught, buried, and killed"
2001-04-04,Truman Gulch West side of Bridger Range, ,MT,SKI,"2 skiers caught, carried, partially buried. 1 injured."
2001-04-03,"Tenmile Range (West side), CO",1,CO,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2001-04-01,Table Mountain southwest of Mt. Baker, ,WA,SKI,"1 skier caught, carried, completly buried, and rescued by own party"
2001-03-25,Columbia Icefields, ,AB,CLIMB,1 ice climber dies in fall after surviving an avalanche
2001-03-24,Seeley Canyon; Wasatch Plateau, ,UT,SNOWMOBILE,Snowmobiler survives hour long burial
2001-03-22,"Big White Mountain, near Kelowna", ,BC,SNOWBOARD,5 snowboarders caught
2001-03-22,Renshaw mountain area near McBride,1,BC,SNOWMOBILE,1 snowmobiler caught buried and killed
2001-03-18,"Summit Lake, behind Courage Mountain",1,AK,SNOWMOBILE,"2 snowmobilers caught, carried, 1 buried and killed."
2001-03-18,Farwell Mountain in Routt County,1,CO,SKI,"1 skier caught, buried, and killed."
2001-03-17,Rogers Pass near the town of Golden,1,BC,OTHER,"4 skiers caught, one buried and killed"
2001-03-10,"Upper Chalk Creek, near Oakley",2,UT,SNOWMOBILE,"3 snowmobilers caught, 2 completely buried, and killed"
2001-03-05,Prater Peak,1,WY,SNOWMOBILE,"2 snowmobilers caught, 1 buried and killed"
2001-03-05,"Crowsnest Pass, near Sparwood, BC",1,BC,SNOWMOBILE,"1 snowmobiler caught, carried, and killed."
2001-03-01,"The Hogsback, near Eaglecrest Ski area", ,AK,SKI,"1 skier caught and buried, minor injuries"
2001-02-27,"Red Rocks Slide Path, near The Canyons ",1,UT,SKI,"4 skiers caught, 2 completely buried, 1 killed"
2001-02-25,"Ohio Pass, CO  near Crested Butte",1,CO,SKI,"1 skier caught, carried, and killed"
2001-02-24,Absorka/Beartooth Range, ,MT,SNOWMOBILE,Snomobiler Burial; Located by Transceiver 
2001-02-24,"Bugaboos Mountains, near Invermere",1,BC,SKI,"2 skiers caught, 1 killed, 1 injured"
2001-02-23,Granite Canyon; Grand Teton National Park,1,WY,SKI,"1 skier caught, buried, and killed."
2001-02-21,Backcountry; Between Squaw and Alpine,2,CA,SKI,"2 skiers caught, buried, and killed"
2001-02-18,Monsahee Mountains near Revelstoke,1,BC,SKI,"4 heli-skiers caught, 1 killed, 3 injured"
2001-02-17,"Mountains North of Cle Elum, WA",1,WA,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2001-02-13,"Thunder Meadows, Near Fernie Alpine Resort",2,BC,SKI,"13 skiers caught, 2 injured, 2 killed"
2001-02-07,"Brandywine Falls area, near Whistler", ,BC,SNOWMOBILE,"1 snowmobiler caught, back broken"
2001-02-06,"Rock Springs area, South of the Jackson",1,WY,SKI,"1 skier caught, buried, and killed"
2001-02-04,Hyalite Drainage in the Gallatin Mountains, ,MT,SNOWBOARD,1 snowboarder caught and buried in roadside terrain trap
2001-02-03,20 miles South of Eureka Lodge,2,AK,SNOWMOBILE,"3 snomobilers caught and buried, 2 killed, 1 escaped."
2001-01-30,Alpental Ski Area, ,WA,SKI,"One Professional Patroller caught, totally buried and rescued"
2001-01-29,"Twin Lakes, Chelan County",1,WA,SNOWSHOE,"2 snowshoers, 3 dogs caught, 1 person killed. 1 Dog killed."
2001-01-27,"East of Mt. Shasta, Ash Creek Butte", ,CA,SNOWMOBILE,"1 snowmobiler caught, buried, and rescued by own group."
2001-01-17,Northwest of Jackson,1,MT,SNOWMOBILE,"1 snowmobiler caught,buried and killed"
2001-01-06,Torpy Mountain near McGregor,1,BC,SNOWMOBILE,1 snowmobiler caught buried and killed
2001-01-01,"Aaron's Last Run, Turnagain Pass", ,AK,SKI,"1 Skier caught, carried, and buried. Rescued alive by own group."
2000-12-31,Emigrant Peak in the Absaroka Range,2,MT,HIKE,"4 hikers caught, 1 injured ,2 killed"
2000-12-29,South Diamond Peak at Cameron Pass,1,CO,SNOWBOARD,"1 backcountry snowboarder caught, buried, and killed"
2000-12-29,"Pine Pass area, about 200 km north of Prince George",2,BC,SNOWMOBILE,2 snowmobilers caught buried and killed
2000-12-29,Upper Middle Piney Creek, ,WY,SNOWMOBILE,"1 snowmobiler caught, buried, and rescued by own group"
2000-12-26,Daisy Pass; north of Cooke City, ,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and rescued by own group."
2000-12-26,CLOSED AREA; Discovery Basin Ski Area, ,MT,SKI,"3 skiers caught, carried, and 2 injured."
2000-12-25,"South Badger Creek, Jedediah Smith Wilderness",1,WY,SKI,"One skier caught, buried, and killed"
2000-12-25,Lionhead area near West Yellowstone, ,MT,SNOWMOBILE,1 snowmobiler caught buried and rescued
2000-12-19,AREA NOT OPENED...Fernie Alpine Resort, ,BC,SKI,"1 skier caught, buried, and located alive by an avalanche rescue dog"
2000-12-17,Marias Pass near Kalispell,2,MT,SNOWMOBILE,2 snowmobilers killed
2000-12-16,"Flagstaff Mtn.,North of Alta", ,UT,OTHER,"2 sledders caught, one partially buried, one buried and saved"
2000-12-14,Snowbasin , ,UT,OTHER,"Plane crash in avalanche terrain, pilot killed in crash"
2000-12-14,Willard Peak,1,UT,SNOWMOBILE,1 snowmobiler caught buried and killed
2000-12-10,Teton Pass,1,WY,SKI,"1 backcountry skier caught, buried, and killed"
2000-12-09,"South of Cantwell, off Parks Hwy",1,AK,SNOWMOBILE,"1 snowmobiler caught, buried, and killed."
2000-12-01,Glory Bowl,1,WY,SNOWBOARD,1 snowboarder caught buried and killed
2000-11-27,"Sunlight Basin, near Cody",1,WY,HIKE,1 hunter caught buried and killed
2000-11-11,"Flat Top Mountain, North Gully, Chugach State Park", ,AK,CLIMB,1 Climber critically injured and 1 dog slightly injured
2000-11-04,"Red Mountain, near Red Mt. Pass", ,CO,SKI,"Group of 3 caught, 2 partially buried, 1 fully buried"
2000-10-30,Red Cone bowl near Mammoth Lakes, ,CA,SKI,2 skiers caught and injured
2002-06-13,Denali National Park - Mount Foraker; Southeast Ridge ,3,AK,CLIMB,"3 climbers, believed to be caught, carried, and killed"
2002-04-15,"Twin Lakes, Kenai Peninsula ", ,AK,OTHER,At least 143 Caribou killed in slide that occured 12/23/2002
2002-04-14,1 mile outside of Fortress Mountain Resort Boundaries,2,AB,SNOWBOARD,"3 snowboarders caught, 1 injured, 2 buried and killed"
2002-03-31,"Mount Magnificent, Eagle River area",2,AK,SNOWSHOE,"3 snowshoers caught, 2 buried and killed"
2002-03-28,S.Fork Eagle River, ,AK,SKI,"1 caught, buried, and rescued ALIVE, wearing an avalanche transciever"
2002-03-22,East Fork of Targhee Creek,1,ID,SNOWMOBILE,"1 snowmobiler caught, buried, and killed wearing a transciever."
2002-03-21,"Jackson Peak, 6 miles east of Jackson, Wyoming",1,WY,SKI,"1 skier caught, buried, and killed"
2002-03-18,"Dogtooth Mountain Range, outside Kicking Horse Mtn. Resort",1,BC,SKI,"1 skier caught, buried, and killed."
2002-03-17,"Pagoda Peak, 36 miles SW of Steamboat",1,CO,SNOWMOBILE,1 snowmobiler caught buried and kille
2002-03-16,East Face of Pioneer Peak,2,UT,SNOWBOARD,"3 snowboaders caught, 2 buried and killed"
2002-03-16,"South Canyon Creek area, North Fork of the Flathead",1,MT,SNOWMOBILE,"2 snowmobilers caught and buried, 1 killed wearing an avalanche transciever"
2002-03-15,Temptation Bowl to the East of the Telluride Ski Area,1,CO,SNOWBOARD,"2 out-of-area snowboarders caught, 1 seriously injured,and 1 presumed buried"
2002-03-15,"Banana Chutes, backcountry terrain by Big Mtn. Resort", ,MT,SKI,"1 skier caught, buried, and rescued alive"
2002-03-14,"East of the Lindley Hut, approximately 4 miles south of Ashcroft",1,CO,SKI,"5 backcountry skiers caught, 3 partly, buried, 2 injured, and 1 buried killed"
2002-03-14,"Strawberry Gulch, East of Aspen Mountain",1,CO,SKI,"1 skier caught, buried, and killed."
2002-03-12,"Grove Creek, near Victor",1,ID,SNOWMOBILE,1 snowmobiler caught buried and killed
2002-03-09,"Wasatch Plateau, located in Central Utah", ,UT,SNOWMOBILE,2 seperate close calls in same area in 2 days
2002-03-08,"Backside of Mount Judah, out of area @ Sugarbowl Resort",1,CA,SNOWBOARD,"1 skier and 2 snowboarders caught, 1 buried and killed"
2002-03-03,Teton Pass, ,WY,SKI,2 close calls on the same day
2002-02-24,Near Flat Top Mountain / Miner Basin in Northeast Mesa County,1,CO,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2002-02-23,"Uinta Mountains, Currant Creek drainage, east of Heber", ,UT,SNOWMOBILE,"1 snowmobiler caught, buried, and injured"
2002-02-22,"HIGHWAY 2, West of Stevens Pass Ski Area", ,WA,OTHER,"1 automobile struck, carried, damaged, and partially buried"
2002-02-18,"American Fork Twins, backcountry terrain.", ,UT,SKI,"Close call...1 patroller caught, carried, partially buried, and injured."
2002-02-16,"Mt. Abundance, north of Cooke City",2,MT,SNOWMOBILE,"3 snowmobilers caught, 2 buried and killed"
2002-02-10,"Mountains near Revelstoke, BC",2,BC,SKI,"4 skiers caught, 2 injured, 2 buried and killed"
2002-02-10,Jasper National Park,1,AB,SNOWBOARD,"1 snowboarder caught, buried, and killed wearing a transciever"
2002-02-10,Mountians North of Whitefish Lake,1,MT,SNOWMOBILE,"1 snowmobiler, caught, buried, and killed wearing a transceiver"
2002-02-09,Eureka Peak area near Williams Lake,1,BC,SNOWMOBILE,"2 snowmobilers caught, 1 snowmobiler buried and killed"
2002-02-06,Near Crystal Peak,1,CO,SKI,"1 skier caught, buried, and killed wearing a transciever"
2002-02-01,Just beyond the Aspen Highlands ski area boundary,1,CO,SKI,"1 skier caught, buried, and killed"
2002-01-31,"Lionhead, Near West Yellowstone", ,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and rescued wearing a tranciever"
2002-01-31,"One drainage east of Stillman Creek, Uinta Mountains",1,UT,SKI,"1 skier, 1 dog caught, buried, and killed"
2002-01-28,"Mount Carlyle near Kaslo, 30 miles north of the Canadian border near Idaho. ",3,BC,SKI,Three backcountry skiers caught and killed
2002-01-27,Miller Creek outside of Cooke City, ,MT,SNOWMOBILE,"2 snowmobilers caught, 1 injured."
2002-01-26,"Arasta Creek, Gravelly Mountain Range", ,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and rescued wearing a transciever"
2002-01-26,"Sheep Mountain, near Bonner, MT",4,MT,SNOWMOBILE,"5 snowmobilers caught, 4 buried and killed. ALL wearing transcievers."
2002-01-25,"Somewhere near Pemberton, BC",1,BC,SKI,"3 skiers caught and buried, 2 rescued, 1 killed"
2002-01-24,"Salt River Range, Bridger-Teton National Forest", ,WY,SNOWMOBILE,"2 snowmobilers caught, buried, and rescued"
2002-01-21,Skyline Ridge near Stevens Pass, ,WA,SKI,"Group of 5 skiers and boarders caught, 2 injured."
2002-01-21,"Tunnel Creek, near Stevens Pass", ,WA,SNOWBOARD,"5 snowboarders caught, 1 with serious injuries."
2002-01-21,Crater Lake National Park, ,OR,SKI,"6 people caught in 2 different avalanches, 2 people buried and rescued"
2002-01-14,"Brewer Creek area, Purcell Mountains; 44 km southwest of Invermere",1,BC,OTHER,"1 snowmobiler caught, buried, and killed...wearing a transciever"
2002-01-12,"Cony Mt., dividing Gulkana Glacier and Cantwell Glacier, Delta Range",2,AK,SNOWMOBILE,"3 snowmobilers, caught, one partially buried and rescued, and 2 killed"
2002-01-12,"Parker Ridge,near the Columbia Icefield",1,AB,SKI,"3 skiers caught, 2 fully buried, 2 rescued, 1 killed"
2001-12-31,"Thompson Lake, Flint Creek Range; 15 miles West of Deer Lodge",1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2001-12-24,"Mile 185 Parks Highway, southwest of Cantwell",1,AK,SNOWMOBILE,"1 snowmobiler caught, buried, and killed...wearing a transciever"
2001-12-23,Swetmann Mine area of Chugach National Forest,1,AK,SNOWMOBILE,"1 snowmobiler caught, buried, and killed...wearing a transciever"
2001-12-11,"Point Whitshed, west of Cordova",1,AK,SNOWMOBILE,"2 Snowmobilers caught, 1 buried and killed"
2001-12-02,Alpine Meadows Resort, ,CA,OTHER,Close calls for mountain workers
2001-11-30,Black Lake region in Jewel Basin, ,MT,SKI,"1 skier caught, fully buried, rescued alive and uninjured!"
2001-11-28,"Rollins Pass near Boulder, Yankee Doodle Lake",1,CO,SKI,"2 backcountry skiers caught, 1 buried and killed"
2001-11-24,Mt Rainier, ,WA,SNOWBOARD,"!!! Amazing recovery!!! 1 snowboarder caught, completely buried"
2001-11-14,"Tuckerman Ravine, Center Headwall", ,NH,SKI,"3 caught, carried, and injured"
2001-11-11,"Hatcher Pass, Alaska",1,AK,SNOWSHOE,"One snowshoer, caught, buried, and killed."
2001-10-13,"Parkers Ridge, Near Jasper National Park ", ,AB,SKI,"Solo Skier caught, partially buried, very lucky"
2003-05-25,Meadow Mountain area about 35 miles north of Kaslo, ,BC,SNOWMOBILE,"14 snowmobilers caught, carried, 5 buried, 3 injured"
2003-04-26,Charity Valley in Alpine County,1,CA,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2003-04-18,near Crowsnest Pass,1,AB,SNOWMOBILE,1 snowmobiler caught and killed
2003-04-15,Devil's Thumb on the Alaska-BC Boarder,2,AK,CLIMB,2 climbers missing and presumed killed in avalanche
2003-04-10,Verde Peak area in the Chugach Mountains,1,AK,SKI,"1 skier caught, buried, and killed"
2003-04-07,"10 km northwest of Golden, BC",1,BC,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2003-03-31,"Scallop Mountain, near Takla Landing",1,BC,SNOWMOBILE,"2 snowmobilers caught, 1 buried and killed"
2003-03-29,"Granite Mountain, near Snoqualmie Pass", ,WA,SKI,"1 skier caught, partly buried, seriously injured"
2003-03-27,"Brewer Creek area, southwest of Invermere",1,BC,SNOWMOBILE,"12 snowmobilers caught, unknown number buried, 1 killed"
2003-03-26,"Mountains near Fernie, BC",3,BC,SNOWMOBILE,"7 snowmobilers caught, 3 buried and killed"
2003-03-26,Mount Terry Fox near Valemount,1,BC,SKI,"1 skier caught, buried, and killed"
2003-03-22,North of Burro Peak and south of Bear Creek,1,CO,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2003-03-20,"Porcupine Peak, Loveland Pass",1,CO,SKI,"2 skiers caught and carried.  1 injured, 1 killed"
2003-03-20,"Ram Mountain Range, southwest of Onion Lake",1,AB,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2003-03-17,Grizzley Bowl Area in Kokanee Glacier Provincial Park,2,BC,SKI,"3 skiers caught and buried, 2 killed"
2003-03-14,"Lake Agnes, northwest of the Fairmont Chateau Lake Louise",1,AB,SNOWSHOE,"1 snowshoer caught, buried, and killed"
2003-03-13,Sheep Pass in the Salt River Range, ,WY,SNOWMOBILE,"3 snowmobilers caught, carried, 1 injured, 1 buried and rescue with transceiver"
2003-03-12,"West of Marias Pass, MT; US HWY 2", ,MT,OTHER,Large avalanche cycle along highway and railroad corridor
2003-03-09,"Ptarmigan Lake, Cottonwood Pass, Sawatch Range",1,CO,SNOWMOBILE,"1 Snowmobiler Caught, Buried and Killed"
2003-03-09,"Mount Abundance,10 miles northwest of Cooke City",1,MT,SNOWMOBILE,"3 snowmobilers caught, 2 buried, 1 killed"
2003-03-07,"Backyards, a Permanently Closed Area", ,OR,SNOWBOARD,"1 snowboarder caught, buried, and rescued with avalanche transceiver"
2003-03-05,"Hancock Pass, North of Monarch Pass",1,CO,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2003-03-01,"Microdot Peak, Hatcher Pass", ,AK,SKI,"1 skier caught, carried, partially buried & injured. 2 caught in powder blast."
2003-02-24,Smiths Fork in the Salt River Range,1,WY,SNOWMOBILE,1 snowmobiler caught buried and killed
2003-02-22,Echo Bowl near Priest Lake,1,ID,SNOWMOBILE,"5 snowmobilers caught, 1 buried and killed"
2003-02-22,"Near Keokee Lake, northwest of Schweitzer Mountain Resort",1,ID,SKI,1 backcountry skier caught buried and killed
2003-02-22,Mt Belford in the Sawatch Range west of Buena Vista ,1,CO,SKI,"3 Skiers Caught, 2 Partly Buried, 1 injured (frostbite) and 1 Buried and Killed"
2003-02-17,"Peak 13,294 (Citadel), Dry Gulch, Loveland Pass area",1,CO,CLIMB,"2 climbers caught, carried. 1 buried and killed"
2003-02-15,Gobbler's Knob Area,1,UT,SKI,"unknown number caught, 1 buried and killed"
2003-02-15,4.5 miles east of Mile 219.5 of the Parks Highway, ,AK,SNOWMOBILE,1 snowmobiler caught and critically injured
2003-02-10,"Teton County, Hourglass Couloir, a Permanently Closed Area",1,WY,SKI,"2 skiers caught, carried, 1 skier buried and killed"
2003-02-09,"Hatch Peak, above pass to Willow",1,AK,SNOWBOARD,"2 snowboarders caught, carried, 1 buried and killed"
2003-02-02,Elk Creek drainage of the Crazy Mountains near Livingston Montana,1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
2003-02-01,Mount Cheops; Rogers Pass area of Glacier National Park ,7,BC,SKI,"17 Skiers caught, 15 buried, 7 killed"
2003-02-01,"Copper Creek Bowl northeast of Lincoln, MT",1,MT,SNOWMOBILE,"2 snowmobilers caught and buried, 1 rescued with transciever, 1 killed"
2003-01-29,"Avalanche Bowl, Teton Pass",1,WY,SNOWBOARD,"1 solo snowboarder caught, buried, and killed"
2003-01-25,Kettle Creek Drainage near Togwotee Pass ,1,WY,SNOWMOBILE,"2 snowmobilers caught, 1 killed , 1 injured"
2003-01-22,North side of Wolverine Peak,1,MT,SNOWMOBILE,"1 snowmobiler caught, buried, and killed"
